Account No,Date,Transaction Detail,CHQ No,Withdrawal Amount,Deposit Amount,Balance

3273187,26/03/2022 23:07:32,Deposit,1234545l,0.00,10000.00,10000.00
5757021274,26/03/2022 23:08:43,Overseas transfer of 173.90USD to 5239102,1234545l,235.00,0.00,733.00
5757858762,26/03/2022 23:14:28,Local transfer to 32718302,1234545l,300.00,0.00,6348.00
5757858762,26/03/2022 23:14:57,Overseas transfer of 296.81EUR to 413424536,1234545l,443.00,0.00,5905.00
5756423433,27/03/2022 15:20:53,Local transfer your account number 5757858762,1234545l,100.00,0.00,3446.00
5757858762,27/03/2022 15:20:53,Received $100.0 from 5756423433,1234545l,0.00,100.00,6005.00
5757925052,27/03/2022 15:23:44,Overseas transfer of 927.00MYR to 546843,1234545l,300.00,0.00,98959.00
5757858762,28/03/2022 09:31:00,Withdraw,1234545l,5.00,0.00,6000.00
3273187,29/03/2022 12:59:57,Withdraw,1234545l,120.00,0.00,9880.00
5757925052,29/03/2022 20:59:29,Local transfer to 412312,1234545l,300.00,0.00,98659.00
5757925052,29/03/2022 21:19:17,Withdraw,1234545l,50.00,0.00,98609.00
5757858762,29/03/2022 21:19:48,Local transfer to 431223,1234545l,100.00,0.00,5900.00
5757858762,29/03/2022 22:04:12,Withdraw,1234545l,50.00,0.00,5850.00
5757858762,29/03/2022 22:24:24,Withdraw,1234545l,50.00,0.00,5800.00
5757858762,29/03/2022 22:25:31,Deposit,1234545l,0.00,100.00,5900.00
5757858762,29/03/2022 22:26:09,Local transfer your account number 5757925052,1234545l,25.00,0.00,5875.00
5757925052,29/03/2022 22:26:09,Received $$25.00 from 5757858762,1234545l,0.00,25.00,98634.00
5757925052,30/03/2022 16:15:24,Overseas transfer of 74.00USD to 5234234,1234545l,100.00,0.00,98534.00
5757925052,30/03/2022 23:39:09,Local transfer your account number 5757021274,1234545l,100.00,0.00,98434.00
5757021274,30/03/2022 23:39:09,Received $100.00 from 5757925052,1234545l,0.00,100.00,833.00
